,ID,Gender,DoB,ROI1,ROI2,ROI3,Valid,Valid Freeviewing
0,20230314113311129,MALE,1989,Mermaid,Turtle,WomanOnBoat,True,True
1,20230314115057038,MALE,1980,WomanOnBoat,Mermaid,Woman,True,True
2,20230314115611868,FEMALE,1998,Elephant,SwimmingMan,Woman,True,True
3,20230314120103643,MALE,2000,Woman,Spaceship,Pierce,True,True
4,20230314120503166,OTHER,2010,SwimmingMan,Pierce,Elephant,True,True
5,20230314120855847,FEMALE,1983,Woman,WomanOnBoat,BoatSunset,True,True
6,20230314121520716,MALE,1980,Spaceship,Clouds,FatherSonBoat,True,False
7,20230314122909026,MALE,2000,Spaceship,BoatSunset,Pierce,True,False
8,20230314123253718,FEMALE,2000,Mermaid,Woman,Pierce,True,True
9,20230314124034378,OTHER,2009,Clouds,FatherSonBoat,Turtle,True,True
10,20230314131032390,MALE,2000,Woman,Pierce,Spaceship,False,True
11,20230314133006580,FEMALE,1965,Mermaid,Pierce,Turtle,True,True
12,20230314134003042,MALE,2001,Mermaid,Pierce,Octopus,True,True
13,20230314134526549,MALE,1998,BoatSunset,WomanOnBoat,Woman,True,True
14,20230314134941637,FEMALE,2000,Spaceship,FatherSonBoat,BoatSunset,True,True
15,20230314135638153,MALE,2003,Woman,BoatSunset,Pierce,True,True
16,20230314140630962,MALE,2006,Man,Turtle,BoatSunset,False,True
17,20230314141740481,MALE,2000,FatherSonBoat,Mermaid,BoatSunset,False,True
18,20230314142348699,MALE,1997,BoatSunset,Spaceship,SwimmingMan,True,True
19,20230314143721694,FEMALE,2000,FatherSonBoat,Man,Pierce,True,True
20,20230314144542678,FEMALE,2000,Elephant,Man,Spaceship,False,True
21,20230314145845794,MALE,2000,BoatSunset,Elephant,Woman,True,True
22,20230314150353483,MALE,1996,WomanOnBoat,Zeppelin,Octopus,True,False
23,20230314151333980,MALE,2000,WomanOnBoat,Pierce,BoatSunset,True,True
24,20230314151951557,MALE,1953,Mermaid,Octopus,Turtle,True,False
25,20230314155449404,FEMALE,2000,Turtle,Mermaid,SwimmingMan,True,True
26,20230314155857201,FEMALE,2000,Turtle,BoatSunset,Mermaid,False,True
27,20230314160219069,MALE,1997,BoatSunset,FatherSonBoat,SwimmingMan,True,True
28,20230314162251267,MALE,1998,Spaceship,Pierce,Man,True,True
29,20230314165308365,FEMALE,2004,Spaceship,WomanOnBoat,Clouds,True,True
30,20230315103238131,MALE,2000,Spaceship,Clouds,FatherSonBoat,True,False
31,20230315104830666,MALE,2000,Mermaid,Spaceship,WomanOnBoat,True,True
32,20230315105214990,MALE,1978,Spaceship,Man,BoatSunset,True,True
33,20230315111657855,FEMALE,2014,Woman,Elephant,Mermaid,False,True
34,20230315113811395,MALE,1996,Woman,BoatSunset,WomanOnBoat,True,True
35,20230315120112325,FEMALE,1998,Turtle,Spaceship,Pierce,True,True
36,20230315121809041,MALE,1956,Mermaid,BoatSunset,Man,True,True
37,20230315122320502,MALE,2000,WomanOnBoat,Woman,Pierce,True,True
